accession	description
"SRR6152487"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152486"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152485"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152484"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152483"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152481"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152479"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR3401406"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC tissue P2"
"SRR3401408"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC serum P6"
"SRR3401413"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC tissue P5"
"SRR3401415"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC serum P1"
"SRR3401417"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC serum P3"
"SRR13442186"	"HiSeq X Ten sequencing; PC-9  NSCLC cell lines"
"SRR3401405"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC tissue P1"
"SRR3401407"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC serum P5"
"SRR3401409"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC healthy pool"
"SRR3401410"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC healthy pool"
"SRR3401411"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC tissue P3"
"SRR3401412"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC tissue P4"
"SRR3401414"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC tissue P6"
"SRR3401416"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC serum P2"
"SRR3401418"	"Illumina HiSeq 2000 sequencing; Human sample NSCLC serum P4"
"SRR10780607"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13358989"
"SRR10780609"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13358991"
"SRR10782737"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361294"
"SRR10782739"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361296"
"SRR10782740"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361297"
"SRR10782744"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361301"
