accession	description
"SRR8421095"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R3_1005_20171024"
"SRR8421094"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1_1030_20171128"
"SRR8421093"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3_1030_20171128"
"SRR8421092"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1_1030_20171128"
"SRR8421091"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R3_1030_20171128"
"SRR8421090"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R2_1030_20171128"
"SRR8421089"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R1_1030_20171128"
"SRR8421088"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2_1030_20171128"
"SRR8421087"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1_1030_20171128"
"SRR8421086"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3_1030_20171128"
"SRR8421085"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2_1030_20171128"
"SRR8427039"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427037"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427036"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427035"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427034"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427031"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427030"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427029"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427028"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427027"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427026"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427025"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427024"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427023"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427022"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427018"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427017"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427061"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427060"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427059"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427058"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427057"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427056"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427055"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427054"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427053"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427052"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427051"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427050"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427049"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
